threshold,total_cost,fn_cost,fp_cost,tp,fp,fn,tn,recall,precision
0.05,206699.15,129699.15,77000.0,63,154,1,35,0.9843749999846191,0.29032258064382344
0.06,221374.525,146874.525,74500.0,62,149,2,40,0.9687499999848632,0.29383886255784913
0.07,217374.525,146874.525,70500.0,62,141,2,48,0.9687499999848632,0.30541871921031816
0.08,216374.525,146874.525,69500.0,62,139,2,50,0.9687499999848632,0.30845771144125145
0.09,279924.65,211924.65,68000.0,59,136,5,53,0.9218749999855956,0.30256410256255095
0.1,571037.3999999999,505037.39999999997,66000.0,58,132,6,57,0.9062499999858398,0.3052631578931302
0.11,698305.2,633805.2,64500.0,56,129,8,60,0.874999999986328,0.3027027027010665
0.12,697305.2,633805.2,63500.0,56,127,8,62,0.874999999986328,0.3060109289600765
0.13,695805.2,633805.2,62000.0,56,124,8,65,0.874999999986328,0.3111111111093827
0.14,719706.7999999999,659206.7999999999,60500.0,54,121,10,68,0.8437499999868163,0.30857142856966535
0.15,758046.625,698546.625,59500.0,53,119,11,70,0.8281249999870605,0.30813953488192947
0.16,784606.825,726606.825,58000.0,52,116,12,73,0.8124999999873046,0.3095238095219671
0.17,782106.825,726606.825,55500.0,52,111,12,78,0.8124999999873046,0.3190184049060183
0.18,780106.825,726606.825,53500.0,52,107,12,82,0.8124999999873046,0.32704402515517583
0.19,777106.825,726606.825,50500.0,52,101,12,88,0.8124999999873046,0.3398692810435303
0.2,773606.825,726606.825,47000.0,52,94,12,95,0.8124999999873046,0.3561643835592044
0.21,859105.5,812605.5,46500.0,51,93,13,96,0.7968749999875487,0.3541666666642072
0.22,858605.5,812605.5,46000.0,51,92,13,97,0.7968749999875487,0.35664335664086266
0.23,862341.725,816841.725,45500.0,50,91,14,98,0.7812499999877929,0.35460992907549926
0.24,861341.725,816841.725,44500.0,50,89,14,100,0.7812499999877929,0.3597122302132395
0.25,861341.725,816841.725,44500.0,50,89,14,100,0.7812499999877929,0.3597122302132395
0.26,859841.725,816841.725,43000.0,50,86,14,103,0.7812499999877929,0.36764705882082616
0.27,859341.725,816841.725,42500.0,50,85,14,104,0.7812499999877929,0.37037037036762693
0.28,858841.725,816841.725,42000.0,50,84,14,105,0.7812499999877929,0.3731343283554244
0.29,858341.725,816841.725,41500.0,50,83,14,106,0.7812499999877929,0.37593984962123356
0.3,864156.625,822656.625,41500.0,48,83,16,106,0.7499999999882813,0.36641221373766103
0.31,862656.625,822656.625,40000.0,48,80,16,109,0.7499999999882813,0.37499999999707034
0.32,861156.625,822656.625,38500.0,48,77,16,112,0.7499999999882813,0.38399999999692797
0.33,860156.625,822656.625,37500.0,48,75,16,114,0.7499999999882813,0.39024390243585166
0.34,859656.625,822656.625,37000.0,48,74,16,115,0.7499999999882813,0.39344262294759474
0.35,859156.625,822656.625,36500.0,48,73,16,116,0.7499999999882813,0.3966942148727546
0.36,857156.625,822656.625,34500.0,48,69,16,120,0.7499999999882813,0.41025641025290377
0.37,856656.625,822656.625,34000.0,48,68,16,121,0.7499999999882813,0.41379310344470865
0.38,856688.575,824188.575,32500.0,47,65,17,124,0.7343749999885254,0.4196428571391103
0.39,865544.7999999999,833044.7999999999,32500.0,46,65,18,124,0.7187499999887695,0.41441441441068094
0.4,864544.7999999999,833044.7999999999,31500.0,46,63,18,126,0.7187499999887695,0.42201834861998144
0.41,870112.35,840112.35,30000.0,45,60,19,129,0.7031249999890137,0.4285714285673469
0.42,869612.35,840112.35,29500.0,45,59,19,130,0.7031249999890137,0.43269230768814715
0.43,869112.35,840112.35,29000.0,45,58,19,131,0.7031249999890137,0.43689320387925346
0.44,1007998.9249999999,980498.9249999999,27500.0,42,55,22,134,0.6562499999897461,0.4329896907171857
0.45,1040791.7999999999,1013791.7999999999,27000.0,41,54,23,135,0.6406249999899902,0.4315789473638781
0.46,1076747.5999999999,1050747.5999999999,26000.0,40,52,24,137,0.6249999999902344,0.4347826086909263
0.47,1143700.8499999999,1117700.8499999999,26000.0,39,52,25,137,0.6093749999904785,0.428571428566719
