farmer_id,missed_by_week_5,missed_by_week_10,missed_by_week_15,missed_by_week_20
1,0,0,0,0
2,1,1,1,1
3,0,0,0,0
4,0,0,0,0
5,5,5,5,5
6,5,5,5,5
7,1,3,4,4
8,0,0,0,0
9,2,3,3,3
10,5,9,10,10
11,0,0,0,0
12,4,4,4,4
13,0,0,0,0
14,4,4,7,12
15,0,0,0,0
16,0,0,0,0
17,1,1,2,4
18,2,2,2,2
19,0,0,0,0
20,5,6,6,6
21,0,0,0,0
22,0,0,0,0
23,0,0,0,0
24,0,0,0,0
25,0,0,0,0
26,0,0,0,0
27,0,0,0,0
28,2,2,2,2
29,1,1,1,1
30,0,0,0,0
31,0,0,0,0
32,0,0,0,0
33,4,4,4,4
34,0,0,0,0
35,0,0,0,0
36,0,0,0,0
37,5,10,15,20
38,0,0,0,0
39,3,3,3,3
40,0,0,0,0
41,3,4,4,5
42,3,3,6,6
43,0,0,0,0
44,5,6,11,12
45,0,0,0,0
46,0,0,0,0
47,0,0,0,0
48,0,0,0,0
49,1,1,1,1
50,1,1,2,2
51,5,8,8,8
52,2,2,2,2
53,4,5,5,5
54,5,6,11,15
55,1,5,6,6
56,0,0,0,0
57,0,0,0,0
58,0,2,2,2
59,1,1,1,1
60,0,0,0,0
61,5,10,13,13
62,0,0,1,1
63,2,2,2,2
64,0,0,0,0
65,5,5,5,5
66,0,0,0,0
67,5,5,5,5
68,1,1,1,1
69,4,9,9,9
70,1,1,1,1
71,5,7,11,16
72,0,0,0,0
73,1,1,1,1
74,0,0,0,0
75,0,0,0,0
76,5,8,8,8
77,0,0,0,0
78,0,0,0,0
79,1,1,1,1
80,0,1,2,2
81,0,0,0,0
82,0,0,0,0
83,5,5,5,5
84,0,0,0,0
85,0,0,0,0
86,0,0,0,0
87,2,2,2,2
88,0,0,0,0
89,3,3,3,3
90,0,0,1,1
91,0,0,0,0
92,1,4,4,4
93,3,3,3,3
94,5,5,5,5
95,0,0,0,0
96,4,4,4,4
97,0,0,0,0
98,2,2,2,2
99,0,0,0,0
100,3,4,4,4
101,5,5,5,5
102,0,0,0,0
103,2,4,4,4
104,5,10,11,11
105,0,0,0,0
106,0,0,0,0
107,5,8,8,8
108,1,1,1,1
109,0,0,0,0
110,0,3,8,13
111,0,0,0,0
112,0,0,0,0
113,5,7,7,7
114,3,4,5,5
115,5,6,6,6
116,0,0,0,0
117,0,0,0,0
118,0,0,0,0
119,0,0,0,0
120,1,1,1,1
121,0,0,0,0
122,0,4,8,13
123,0,0,0,0
124,0,0,1,2
125,2,2,2,2
126,0,0,0,0
127,2,5,6,6
128,5,10,15,19
129,0,0,0,0
130,1,1,1,1
131,0,0,1,1
132,0,0,0,0
133,0,0,0,0
134,0,0,0,0
135,0,0,0,0
136,0,1,1,1
137,2,4,8,13
138,4,4,5,5
139,0,0,0,0
140,5,8,13,15
142,0,0,0,0
143,4,9,14,19
144,5,8,8,8
145,0,0,0,0
146,0,0,4,5
147,5,9,9,9
148,0,0,0,0
149,0,0,0,0
150,0,0,0,0
151,0,0,0,1
152,0,0,0,0
153,0,0,0,0
154,0,0,2,4
155,1,1,3,7
156,0,0,0,0
157,0,0,0,0
158,0,0,0,0
159,0,0,0,0
160,0,1,2,6
161,0,0,0,0
162,1,2,2,2
163,0,0,0,1
